"Sequence number"	"Sequence ID"	"Functionality"	"V-GENE and allele"	"V-REGION Nb of positions including IMGT gaps (nt)"	"V-REGION Nb of nucleotides"	"V-REGION Nb of identical nucleotides"	"V-REGION Nb of mutations"	"V-REGION Nb of silent mutations"	"V-REGION Nb of nonsilent mutations"	"V-REGION a>g"	"V-REGION g>a"	"V-REGION c>t"	"V-REGION t>c"	"V-REGION a>c"	"V-REGION c>a"	"V-REGION a>t"	"V-REGION t>a"	"V-REGION g>c"	"V-REGION c>g"	"V-REGION g>t"	"V-REGION t>g"	"FR1-IMGT Nb of positions including IMGT gaps (nt)"	"FR1-IMGT Nb of nucleotides"	"FR1-IMGT Nb of identical nucleotides"	"FR1-IMGT Nb of mutations"	"FR1-IMGT Nb of silent mutations"	"FR1-IMGT Nb of nonsilent mutations"	"FR1-IMGT a>g"	"FR1-IMGT g>a"	"FR1-IMGT c>t"	"FR1-IMGT t>c"	"FR1-IMGT a>c"	"FR1-IMGT c>a"	"FR1-IMGT a>t"	"FR1-IMGT t>a"	"FR1-IMGT g>c"	"FR1-IMGT c>g"	"FR1-IMGT g>t"	"FR1-IMGT t>g"	"CDR1-IMGT Nb of positions including IMGT gaps (nt)"	"CDR1-IMGT Nb of nucleotides"	"CDR1-IMGT Nb of identical nucleotides"	"CDR1-IMGT Nb of mutations"	"CDR1-IMGT Nb of silent mutations"	"CDR1-IMGT Nb of nonsilent mutations"	"CDR1-IMGT a>g"	"CDR1-IMGT g>a"	"CDR1-IMGT c>t"	"CDR1-IMGT t>c"	"CDR1-IMGT a>c"	"CDR1-IMGT c>a"	"CDR1-IMGT a>t"	"CDR1-IMGT t>a"	"CDR1-IMGT g>c"	"CDR1-IMGT c>g"	"CDR1-IMGT g>t"	"CDR1-IMGT t>g"	"FR2-IMGT Nb of positions including IMGT gaps (nt)"	"FR2-IMGT Nb of nucleotides"	"FR2-IMGT Nb of identical nucleotides"	"FR2-IMGT Nb of mutations"	"FR2-IMGT Nb of silent mutations"	"FR2-IMGT Nb of nonsilent mutations"	"FR2-IMGT a>g"	"FR2-IMGT g>a"	"FR2-IMGT c>t"	"FR2-IMGT t>c"	"FR2-IMGT a>c"	"FR2-IMGT c>a"	"FR2-IMGT a>t"	"FR2-IMGT t>a"	"FR2-IMGT g>c"	"FR2-IMGT c>g"	"FR2-IMGT g>t"	"FR2-IMGT t>g"	"CDR2-IMGT Nb of positions including IMGT gaps (nt)"	"CDR2-IMGT Nb of nucleotides"	"CDR2-IMGT Nb of identical nucleotides"	"CDR2-IMGT Nb of mutations"	"CDR2-IMGT Nb of silent mutations"	"CDR2-IMGT Nb of nonsilent mutations"	"CDR2-IMGT a>g"	"CDR2-IMGT g>a"	"CDR2-IMGT c>t"	"CDR2-IMGT t>c"	"CDR2-IMGT a>c"	"CDR2-IMGT c>a"	"CDR2-IMGT a>t"	"CDR2-IMGT t>a"	"CDR2-IMGT g>c"	"CDR2-IMGT c>g"	"CDR2-IMGT g>t"	"CDR2-IMGT t>g"	"FR3-IMGT Nb of positions including IMGT gaps (nt)"	"FR3-IMGT Nb of nucleotides"	"FR3-IMGT Nb of identical nucleotides"	"FR3-IMGT Nb of mutations"	"FR3-IMGT Nb of silent mutations"	"FR3-IMGT Nb of nonsilent mutations"	"FR3-IMGT a>g"	"FR3-IMGT g>a"	"FR3-IMGT c>t"	"FR3-IMGT t>c"	"FR3-IMGT a>c"	"FR3-IMGT c>a"	"FR3-IMGT a>t"	"FR3-IMGT t>a"	"FR3-IMGT g>c"	"FR3-IMGT c>g"	"FR3-IMGT g>t"	"FR3-IMGT t>g"	"CDR3-IMGT Nb of positions including IMGT gaps (nt)"	"CDR3-IMGT Nb of nucleotides"	"CDR3-IMGT Nb of identical nucleotides"	"CDR3-IMGT Nb of mutations"	"CDR3-IMGT Nb of silent mutations"	"CDR3-IMGT Nb of nonsilent mutations"	"CDR3-IMGT a>g"	"CDR3-IMGT g>a"	"CDR3-IMGT c>t"	"CDR3-IMGT t>c"	"CDR3-IMGT a>c"	"CDR3-IMGT c>a"	"CDR3-IMGT a>t"	"CDR3-IMGT t>a"	"CDR3-IMGT g>c"	"CDR3-IMGT c>g"	"CDR3-IMGT g>t"	"CDR3-IMGT t>g"	""
281	">604_@M02381:30:000000000-AUCBB:1:1101:17800:3997"	"productive"	"Homsap TRBV5-1*01 F"	"323 (325)"	"195 (197)"	"193 (194)"	"2 (3)"	"2"	"0 (1)"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1 (2)"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11 (13)"	"11 (13)"	"11 (12)"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	NA
282	">605_@M02381:30:000000000-AUCBB:1:1101:14807:3998"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
283	">608_@M02381:30:000000000-AUCBB:1:1101:19184:4003"	"productive"	"Homsap TRBV6-5*01 F"	"319 (326)"	"191 (198)"	"185 (186)"	"6 (12)"	"2 (4)"	"4 (8)"	"1"	"0"	"0"	"0 (3)"	"1 (2)"	"2"	"0"	"1"	"0 (1)"	"0 (1)"	"0"	"1"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	1	3	1	2	1	0	0	0	1	0	0	0	0	0	0	1	51	51	49	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	110	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	"7 (14)"	"7 (14)"	"7 (8)"	"0 (6)"	"0 (2)"	"0 (4)"	"0"	"0"	"0"	"0 (3)"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	NA
284	">609_@M02381:30:000000000-AUCBB:1:1101:8268:4006"	"productive"	"Homsap TRBV6-4*01 F, or Homsap TRBV6-4*02 F"	"320 (326)"	"192 (198)"	"190 (193)"	"2 (5)"	"1 (2)"	"1 (3)"	"0"	"0"	"0"	"0 (1)"	"0"	"1"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"1"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	110	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	"8 (14)"	"8 (14)"	"8 (11)"	"0 (3)"	"0 (1)"	"0 (2)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0"	NA
285	">610_@M02381:30:000000000-AUCBB:1:1101:14955:4012"	"productive"	"Homsap TRBV19*01 F"	"320 (326)"	"193 (199)"	"191 (194)"	"2 (5)"	"2 (3)"	"0 (2)"	"1 (2)"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"1"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	3	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"8 (14)"	"8 (14)"	"8 (11)"	"0 (3)"	"0 (1)"	"0 (2)"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	NA
286	">611_@M02381:30:000000000-AUCBB:1:1101:14252:4015"	"unproductive"	"Homsap TRBV4-1*01 F"	"324 (326)"	"196 (198)"	"195"	"1 (3)"	"1 (3)"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"12 (14)"	"12 (14)"	"12"	"0 (2)"	"0 (2)"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
287	">612_@M02381:30:000000000-AUCBB:1:1101:21133:4019"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
288	">615_@M02381:30:000000000-AUCBB:1:1101:13748:4027"	"unknown"	"Homsap TRBV5-1*01 F"	"312"	"185"	"150"	"35"	"5"	"30"	"1"	"3"	"3"	"2"	"0"	"5"	"2"	"5"	"2"	"5"	"5"	"2"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	2	3	3	0	0	1	0	0	0	0	1	0	1	0	0	0	51	51	31	20	1	19	1	0	2	2	0	2	1	2	1	5	2	2	30	18	12	6	1	5	0	2	0	0	0	2	0	2	0	0	0	0	117	111	105	6	0	6	0	0	1	0	0	1	0	1	0	0	3	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
289	">616_@M02381:30:000000000-AUCBB:1:1101:15981:4032"	"productive"	"Homsap TRBV2*01 F, or Homsap TRBV2*02 (F)"	"326"	"201"	"201"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"14"	"14"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
290	">617_@M02381:30:000000000-AUCBB:1:1101:14792:4033"	"productive"	"Homsap TRBV6-5*01 F"	"326"	"198"	"197"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"14"	"14"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
291	">618_@M02381:30:000000000-AUCBB:1:1101:22991:4035"	"productive"	"Homsap TRBV6-1*01 F"	"322 (326)"	"194 (198)"	"192 (193)"	"2 (5)"	"1 (3)"	"1 (2)"	"0 (1)"	"0"	"0"	"0"	"0"	"2 (3)"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	2	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10 (14)"	"10 (14)"	"10 (11)"	"0 (3)"	"0 (2)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	NA
292	">619_@M02381:30:000000000-AUCBB:1:1101:14258:4035"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
293	">621_@M02381:30:000000000-AUCBB:1:1101:21065:4037"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
294	">623_@M02381:30:000000000-AUCBB:1:1101:12422:4047"	"productive"	"Homsap TRBV5-1*01 F"	"323 (325)"	"195 (197)"	"193"	"2 (4)"	"2 (3)"	"0 (1)"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1 (3)"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11 (13)"	"11 (13)"	"11"	"0 (2)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (2)"	"0"	"0"	"0"	NA
295	">625_@M02381:30:000000000-AUCBB:1:1101:22838:4051"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
296	">626_@M02381:30:000000000-AUCBB:1:1101:18481:4052"	"unproductive"	"Homsap TRBV12-3*01 F"	"318 (326)"	"192 (200)"	"190 (191)"	"2 (9)"	"0 (1)"	"2 (8)"	"0 (1)"	"0 (1)"	"0"	"1 (2)"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"1 (2)"	"0"	"0 (1)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	3	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"6 (14)"	"6 (14)"	"6 (7)"	"0 (7)"	"0 (1)"	"0 (6)"	"0 (1)"	"0 (1)"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0 (1)"	"0"	"0 (1)"	NA
297	">628_@M02381:30:000000000-AUCBB:1:1101:7928:4053"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
298	">631_@M02381:30:000000000-AUCBB:1:1101:10537:4070"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
299	">632_@M02381:30:000000000-AUCBB:1:1101:22821:4071"	"unproductive"	"Homsap TRBV6-1*01 F"	"320 (326)"	"192 (198)"	"190"	"2 (8)"	"1 (3)"	"1 (5)"	"0"	"0 (1)"	"0"	"0"	"0 (2)"	"2"	"0"	"0"	"0 (1)"	"0 (1)"	"0"	"0 (1)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	2	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"8 (14)"	"8 (14)"	"8"	"0 (6)"	"0 (2)"	"0 (4)"	"0"	"0 (1)"	"0"	"0"	"0 (2)"	"0"	"0"	"0"	"0 (1)"	"0 (1)"	"0"	"0 (1)"	NA
300	">633_@M02381:30:000000000-AUCBB:1:1101:14084:4074"	"productive"	"Homsap TRBV29-1*01 F"	"314 (323)"	"192 (201)"	"168 (174)"	"24 (27)"	"5 (7)"	"19 (20)"	"4 (5)"	"3"	"3 (4)"	"3 (4)"	"4"	"1"	"1"	"1"	"2"	"2"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	91	23	5	18	4	3	3	2	4	1	1	1	2	2	0	0	"2 (11)"	"2 (11)"	"2 (8)"	"0 (3)"	"0 (2)"	"0 (1)"	"0 (1)"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
301	">634_@M02381:30:000000000-AUCBB:1:1101:11115:4076"	"productive"	"Homsap TRBV5-1*01 F"	"323 (325)"	"195 (197)"	"193 (194)"	"2 (3)"	"2"	"0 (1)"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1 (2)"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11 (13)"	"11 (13)"	"11 (12)"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	NA
302	">635_@M02381:30:000000000-AUCBB:1:1101:19692:4081"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
303	">636_@M02381:30:000000000-AUCBB:1:1101:13453:4081"	"productive"	"Homsap TRBV28*01 F"	"322 (326)"	"194 (198)"	"191 (192)"	"3 (6)"	"1 (2)"	"2 (4)"	"1 (2)"	"0"	"0"	"1 (2)"	"0"	"0"	"1"	"0"	"0"	"0"	"0 (1)"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	2	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	51	51	50	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10 (14)"	"10 (14)"	"10 (11)"	"0 (3)"	"0 (1)"	"0 (2)"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	NA
304	">637_@M02381:30:000000000-AUCBB:1:1101:21065:4081"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
305	">639_@M02381:30:000000000-AUCBB:1:1101:9806:4082"	"unproductive"	"Homsap TRBV5-1*01 F"	"321 (325)"	"193 (197)"	"190"	"3 (7)"	"2 (3)"	"1 (4)"	"1"	"0"	"0"	"0 (2)"	"0"	"0"	"0"	"0"	"1 (3)"	"0"	"1"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	49	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9 (13)"	"9 (13)"	"9"	"0 (4)"	"0 (1)"	"0 (3)"	"0"	"0"	"0"	"0 (2)"	"0"	"0"	"0"	"0"	"0 (2)"	"0"	"0"	"0"	NA
306	">641_@M02381:30:000000000-AUCBB:1:1101:11706:4084"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
307	">642_@M02381:30:000000000-AUCBB:1:1101:12151:4084"	"unproductive"	"Homsap TRBV12-3*01 F"	"326"	"290"	"219"	"71"	"1"	"70"	"11"	"5"	"7"	"3"	"5"	"5"	"8"	"3"	"7"	"7"	"5"	"5"	78	78	21	57	1	56	10	5	4	2	3	5	8	2	5	3	5	5	36	15	3	12	0	12	1	0	2	1	2	0	0	1	2	3	0	0	51	51	50	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	113	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	"14"	"14"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
308	">643_@M02381:30:000000000-AUCBB:1:1101:13841:4084"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
